age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
33.0,1583.0,26.7,21.2,11.6,50.8,73.1,33.8,54.4,44.1,0.31,0.02274162981680354,0.039797852179406186,0.9096651926721415,2.3878711307643714,1.819330385344283,1.0233733417561592,3.9229311433986105,0.28427037271004424,0.5116866708780796,78.0,62.1,46.3,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,000b3da6,2018,0,
28.0,2155.0,35.3,39.1,22.6,45.0,72.9,41.5,56.5,49.0,0.68,0.06682134570765662,0.05011600928074246,1.4617169373549885,4.385150812064966,3.1322505800464038,0.6682134570765662,3.5498839907192576,1.294663573085847,0.54292343387471,78.4,57.7,63.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,003a5c72,2018,0,
28.0,2313.0,72.6,62.3,66.0,35.3,70.4,65.3,65.3,65.3,0.93,0.3346303501945525,0.16731517509727625,2.529182879377432,1.4007782101167316,4.124513618677043,2.0233463035019454,1.517509727626459,6.22568093385214,1.1673151750972763,66.2,35.9,67.6,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00459419,2018,0,
31.0,2250.0,68.1,73.4,38.0,65.4,55.4,60.4,63.6,62.0,0.83,0.076,0.024,0.6,4.48,5.56,0.64,2.72,0.8,0.24,83.7,55.6,73.5,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00844823,2018,1,59.3
31.0,1451.0,51.4,54.1,52.0,76.6,50.3,57.9,57.3,57.6,0.43,0.055823569951757405,0.012405237767057202,0.9303928325292901,3.1633356305995863,5.334252239834596,0.062026188835286,2.7291523087525844,0.43418332184700204,0.248104755341144,91.5,52.5,42.4,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,008a6e6d,2018,1,42.8
30.0,1927.0,49.5,54.7,66.9,22.4,34.9,39.7,48.4,44.0,1.02,0.01401141670991178,0.0700570835495589,1.401141670991178,4.250129735339907,3.175921120913337,0.4203425012973534,2.7555786196159833,0.934094447327452,0.5604566683964712,70.6,47.6,63.0,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00a6485f,2018,0,
30.0,2871.0,68.4,71.7,90.9,36.9,43.7,53.6,65.3,59.4,0.76,0.03761755485893417,0.0877742946708464,2.19435736677116,6.0501567398119125,4.106583072100314,0.438871473354232,2.2570532915360504,1.4106583072100314,1.1912225705329154,75.6,56.8,83.9,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00b0bb87,2018,1,43.2
27.0,3135.0,65.0,70.9,85.2,38.7,34.8,49.6,61.8,55.7,1.35,0.04880382775119617,0.08899521531100478,1.8660287081339713,4.535885167464115,4.7368421052631575,0.5741626794258373,2.755980861244019,1.665071770334928,1.033492822966507,77.6,49.0,91.7,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01226327,2018,1,46.75
30.0,1141.0,43.9,29.5,25.9,56.3,52.9,45.9,42.6,44.2,0.37,0.007887817703768625,0.01577563540753725,0.39439088518843124,2.4452234881682737,1.8141980718667836,0.39439088518843124,2.918492550394391,0.63102541630149,0.07887817703768625,76.7,58.3,33.4,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,019f4d0d,2018,0,
28.0,3140.0,20.7,35.5,23.6,59.6,80.8,42.5,44.6,43.6,0.27,0.02579617834394905,0.022929936305732486,1.1464968152866244,3.9840764331210194,3.296178343949045,0.3439490445859873,2.636942675159236,0.14331210191082805,0.4299363057324841,80.5,64.9,91.8,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,023937a9,2018,1,48.900000000000006
